region,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
AG,501881,0.006,88273,0.036,206892,0.020,43594,0.052,86233,0.035,76889,0.037
AI,11413,0.042,2382,0.219,5140,0.120,633,0.452,1623,0.255,1636,0.260
AR,40268,0.023,7218,0.131,15970,0.076,4305,0.172,7561,0.122,5214,0.153
BE,767418,0.004,124909,0.029,316077,0.015,74555,0.038,126565,0.028,125312,0.026
BL,214875,0.008,35512,0.056,85895,0.031,20600,0.075,31824,0.058,41043,0.050
BS,146783,0.010,26817,0.068,38008,0.052,16131,0.090,15642,0.087,50184,0.043
FR,225434,0.009,58283,0.042,73626,0.035,21180,0.074,28927,0.061,43418,0.048
GE,336832,0.005,79149,0.027,65849,0.029,38020,0.040,33889,0.042,119926,0.020
GL,29793,0.024,7067,0.123,12926,0.080,2599,0.216,4283,0.159,2918,0.201
GR,150149,0.010,27224,0.063,63551,0.035,16128,0.084,23692,0.067,19554,0.075
JU,52665,0.018,13867,0.084,20614,0.063,5891,0.136,5912,0.136,6381,0.133
LU,297946,0.005,55884,0.031,117516,0.018,25683,0.047,52570,0.031,46292,0.034
NE,126202,0.008,32637,0.039,38296,0.034,14927,0.061,15549,0.059,24792,0.046
NW,32437,0.020,5579,0.136,12963,0.077,2548,0.211,6120,0.128,5227,0.143
OW,27702,0.024,5584,0.137,12121,0.080,2290,0.229,4780,0.147,2928,0.196
SG,367893,0.007,72593,0.038,153996,0.023,33128,0.059,56997,0.043,51180,0.047
SH,61063,0.015,10763,0.100,25822,0.055,6247,0.136,9379,0.106,8852,0.109
SO,203751,0.009,37739,0.054,89899,0.029,18361,0.081,31361,0.058,26392,0.065
SZ,118200,0.012,23574,0.068,45279,0.043,10297,0.108,19573,0.072,19477,0.074
TG,203868,0.009,36176,0.055,88186,0.030,20235,0.076,32569,0.057,26702,0.064
TI,264891,0.005,60519,0.029,71372,0.026,48306,0.033,32485,0.041,52209,0.031
UR,26453,0.024,6581,0.122,11809,0.081,2179,0.234,3319,0.180,2565,0.213
VD,567008,0.004,129845,0.020,155117,0.017,56892,0.032,66932,0.028,158222,0.017
VS,252883,0.008,66606,0.039,91174,0.031,25268,0.068,29779,0.061,40055,0.052
ZG,93917,0.009,11711,0.070,29622,0.038,9469,0.077,15582,0.056,27533,0.040
ZH,1131985,0.004,164091,0.027,363903,0.016,107071,0.034,168899,0.025,328022,0.017
CH,6253710,0.001,1190582,0.009,2211624,0.006,626535,0.013,912045,0.010,1312924,0.008
