region,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
AG,501881,0.006,0.1759,0.036,0.4122,0.02,0.0869,0.052,0.1718,0.035,0.1532,0.037
AI,11413,0.042,0.2087,0.219,0.4504,0.12,0.0555,0.452,0.1422,0.255,0.1433,0.26
AR,40268,0.023,0.1792,0.131,0.3966,0.076,0.1069,0.172,0.1878,0.122,0.1295,0.153
BE,767418,0.004,0.1628,0.029,0.4119,0.015,0.0972,0.038,0.1649,0.028,0.1633,0.026
BL,214875,0.008,0.1653,0.056,0.3997,0.031,0.0959,0.075,0.1481,0.058,0.191,0.05
BS,146783,0.01,0.1827,0.068,0.2589,0.052,0.1099,0.09,0.1066,0.087,0.3419,0.043
FR,225434,0.009,0.2585,0.042,0.3266,0.035,0.094,0.074,0.1283,0.061,0.1926,0.048
GE,336832,0.005,0.235,0.027,0.1955,0.029,0.1129,0.04,0.1006,0.042,0.356,0.02
GL,29793,0.024,0.2372,0.123,0.4339,0.08,0.0872,0.216,0.1438,0.159,0.0979,0.201
GR,150149,0.01,0.1813,0.063,0.4233,0.035,0.1074,0.084,0.1578,0.067,0.1302,0.075
JU,52665,0.018,0.2633,0.084,0.3914,0.063,0.1119,0.136,0.1123,0.136,0.1212,0.133
LU,297946,0.005,0.1876,0.031,0.3944,0.018,0.0862,0.047,0.1764,0.031,0.1554,0.034
NE,126202,0.008,0.2586,0.039,0.3035,0.034,0.1183,0.061,0.1232,0.059,0.1964,0.046
NW,32437,0.02,0.172,0.136,0.3996,0.077,0.0786,0.211,0.1887,0.128,0.1611,0.143
OW,27702,0.024,0.2016,0.137,0.4375,0.08,0.0827,0.229,0.1726,0.147,0.1057,0.196
SG,367893,0.007,0.1973,0.038,0.4186,0.023,0.09,0.059,0.1549,0.043,0.1391,0.047
SH,61063,0.015,0.1763,0.1,0.4229,0.055,0.1023,0.136,0.1536,0.106,0.145,0.109
SO,203751,0.009,0.1852,0.054,0.4412,0.029,0.0901,0.081,0.1539,0.058,0.1295,0.065
SZ,118200,0.012,0.1994,0.068,0.3831,0.043,0.0871,0.108,0.1656,0.072,0.1648,0.074
TG,203868,0.009,0.1774,0.055,0.4326,0.03,0.0993,0.076,0.1598,0.057,0.131,0.064
TI,264891,0.005,0.2285,0.029,0.2694,0.026,0.1824,0.033,0.1226,0.041,0.1971,0.031
UR,26453,0.024,0.2488,0.122,0.4464,0.081,0.0824,0.234,0.1255,0.18,0.097,0.213
VD,567008,0.004,0.229,0.02,0.2736,0.017,0.1003,0.032,0.118,0.028,0.279,0.017
VS,252883,0.008,0.2634,0.039,0.3605,0.031,0.0999,0.068,0.1178,0.061,0.1584,0.052
ZG,93917,0.009,0.1247,0.07,0.3154,0.038,0.1008,0.077,0.1659,0.056,0.2932,0.04
ZH,1131985,0.004,0.145,0.027,0.3215,0.016,0.0946,0.034,0.1492,0.025,0.2898,0.017
CH,6253710,0.001,0.1904,0.009,0.3536,0.006,0.1002,0.013,0.1458,0.01,0.2099,0.008
