region,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
AG,0.0806,0.004,0.0776,0.025,0.0871,0.015,0.0712,0.038,0.1015,0.021,0.0613,0.024
AI,0.0018,0.04,0.0019,0.215,0.0023,0.129,0.0011,0.417,0.0022,0.203,0.0009,0.306
AR,0.0064,0.021,0.0057,0.131,0.0074,0.075,0.0061,0.183,0.0085,0.102,0.004,0.138
BE,0.1223,0.004,0.1077,0.03,0.1397,0.016,0.1086,0.041,0.1429,0.024,0.0984,0.025
BL,0.0343,0.008,0.0304,0.057,0.036,0.034,0.0332,0.077,0.0411,0.046,0.0299,0.049
BS,0.0233,0.009,0.0224,0.067,0.0154,0.057,0.0255,0.09,0.0186,0.072,0.0381,0.04
FR,0.0363,0.009,0.0466,0.044,0.0383,0.033,0.0344,0.075,0.0261,0.061,0.0338,0.045
GE,0.0534,0.005,0.0649,0.028,0.0371,0.026,0.0639,0.041,0.0243,0.047,0.0865,0.019
GL,0.0048,0.022,0.0065,0.121,0.005,0.096,0.0042,0.227,0.0063,0.121,0.0023,0.195
GR,0.024,0.01,0.0248,0.063,0.0268,0.039,0.025,0.09,0.0285,0.056,0.0154,0.071
JU,0.0084,0.018,0.0113,0.091,0.0114,0.057,0.007,0.169,0.0043,0.153,0.0056,0.117
LU,0.0478,0.005,0.0453,0.033,0.0525,0.02,0.0391,0.051,0.0617,0.026,0.0355,0.032
NE,0.02,0.008,0.0252,0.042,0.0217,0.03,0.0214,0.067,0.0115,0.065,0.0196,0.042
NW,0.0052,0.021,0.0042,0.148,0.0058,0.083,0.0038,0.228,0.0076,0.106,0.0038,0.141
OW,0.0044,0.024,0.0041,0.154,0.0057,0.082,0.0032,0.257,0.0056,0.127,0.0024,0.183
SG,0.0588,0.007,0.0628,0.04,0.0667,0.025,0.0528,0.064,0.0682,0.037,0.0394,0.045
SH,0.0098,0.015,0.0089,0.107,0.0113,0.061,0.0088,0.152,0.0113,0.09,0.0075,0.1
SO,0.0326,0.009,0.0335,0.055,0.0378,0.033,0.0266,0.09,0.0408,0.047,0.0205,0.061
SZ,0.019,0.011,0.019,0.072,0.0202,0.046,0.0131,0.126,0.0231,0.062,0.0167,0.066
TG,0.0328,0.006,0.031,0.04,0.0382,0.023,0.0319,0.056,0.0401,0.033,0.0209,0.043
TI,0.042,0.005,0.0473,0.031,0.0335,0.026,0.0929,0.03,0.0286,0.041,0.0395,0.029
UR,0.0042,0.025,0.0058,0.124,0.005,0.09,0.0024,0.297,0.0049,0.133,0.0021,0.193
VD,0.091,0.004,0.1036,0.022,0.0821,0.016,0.0966,0.032,0.0516,0.031,0.1223,0.016
VS,0.0406,0.005,0.0531,0.029,0.0467,0.021,0.0425,0.048,0.0271,0.043,0.0313,0.034
ZG,0.015,0.009,0.0106,0.07,0.0126,0.042,0.0129,0.088,0.018,0.049,0.0206,0.039
ZH,0.1812,0.003,0.1459,0.027,0.1536,0.017,0.1718,0.035,0.1956,0.022,0.2419,0.016
CH,6312917.0,0.001,1129155.0,0.009,2065894.0,0.006,586404.0,0.012,1109174.0,0.009,1422291.0,0.007
