region,total,onePersonHousehold,twoPersonHousehold,threePersonHousehold,fourPersonHousehold,fivePersonHousehold,sixMorePersonHousehold,averageSizeHousehold
AG,292608,93256,103517,38853,39352,12858,4772,2.29
AI,6463,1960,2118,798,880,518,189,2.46
AR,23767,7986,8189,2882,2947,1234,529,2.29
BE,469733,171908,163863,55374,53749,17963,6876,2.16
BL,127664,42180,45999,16779,16359,4818,1529,2.22
BS,96431,45024,27906,11074,8518,2774,1135,1.96
FR,130758,40230,41519,19451,20176,6959,2423,2.39
GE,200190,72623,52345,31210,26916,10469,6627,2.38
GL,17921,6317,6042,2308,2267,743,244,2.21
GR,91447,35191,29873,11176,10727,3452,1028,2.13
JU,31985,11320,10204,4154,4184,1614,509,2.26
LU,176401,59414,59855,21988,23437,8550,3157,2.28
NE,81046,32120,24372,10703,9922,2961,968,2.14
NW,19022,6183,6967,2415,2415,801,241,2.24
OW,16025,5129,5511,1987,2292,775,331,2.33
SG,220280,76283,73331,27367,28044,10892,4363,2.27
SH,37252,13875,12581,4536,4240,1440,580,2.16
SO,121266,41608,42763,15434,14672,4906,1883,2.22
SZ,68181,22028,23654,9024,9060,3233,1182,2.29
TG,119717,39170,41764,15407,15821,5402,2153,2.28
TI,163485,64461,49179,23682,19247,5421,1495,2.13
UR,15307,4813,5419,1818,2127,857,273,2.33
VD,349758,127904,104456,50682,46775,14758,5183,2.24
VS,150387,53704,47301,20791,19633,6592,2366,2.24
ZG,54467,17514,18574,7447,7756,2504,672,2.29
ZH,680791,248443,223879,88515,83996,26006,9952,2.19
CH,3762352,1340644,1231181,495855,475512,158500,60660,2.23
