region,totalHousing,tenantHousing,ownershipRate
AG,288460,137091,49.1 
AI,6400,2564,55.1 
AR,23627,10591,51.8 
BE,466562,254413,40.3 
BL,126899,62409,46.1 
BS,96076,71052,14.9 
FR,128430,65008,44.4 
GE,194367,144388,18.8 
GL,17817,8193,50.4 
GR,90936,43588,46.2 
JU,31659,12886,52.8 
LU,174242,103396,35.3 
NE,80921,52355,31.6 
NW,18809,10469,39.9 
OW,15905,7343,49.1 
SG,218057,117906,42.6 
SH,36796,20289,41.7 
SO,119945,55469,50.4 
SZ,66978,35611,42.7 
TG,118119,58964,47.0 
TI,162542,87319,40.5 
UR,15118,6650,49.1 
VD,343997,221707,31.0 
VS,148171,57339,57.3 
ZG,53689,33341,33.8 
ZH,671409,417474,29.2 
CH,3715931,2097818,38.0 
