category,ageAllTotal,ageAllFemale,ageAllMale,age29minusTotal,age29minusFemale,age29minusMale,age30_49Total,age30_49Female,age30_49Male,age50plusTotal,age50plusFemale,age50plusMale
total,5546,5176,5738,4524,4435,4566,5524,5238,5673,6190,5539,6563
managers,8573,6903,9320,5667,NaN,NaN,7575,6606,7986,10290,7907,10744
professionals,7500,7329,7688,5768,5980,5307,7440,7484,7404,8692,8351,9461
techniciansAndAssociateProfessionals,6144,5705,6497,4835,4874,4822,6157,5740,6365,6960,6371,7299
clericalSupportWorkers,5136,5124,5139,4126,4228,4073,5109,5137,5106,5740,5570,6356
serviceAndSalesWorkers,4641,4444,4863,4196,4049,4394,4605,4435,4824,5059,4867,5298
skilledAgriculturalForestryAndFisheryWorkers,5066,NaN,5055,4531,NaN,NaN,5257,NaN,5257,5862,NaN,5890
craftAndRelatedTradesWorkers,5258,3464,5372,4641,NaN,4657,5318,3580,5383,5624,3313,5800
plantMachineOperatorsAndAssemblers,4430,3396,5087,3648,3394,4019,4311,3394,4926,4872,3567,5549
elementaryOccupations,4250,3709,4613,3810,3470,3891,4224,3690,4579,4540,3833,5104
