region,total,german,german_IC,french,french_IC,italian,italian_IC,romansh,romansh_IC,english,english_IC,portuguese,portuguese_IC,bosnianCroatianMontenegrinSerbian,bosnianCroatianMontenegrinSerbian_IC,albanian,albanian_IC,spanish,spanish_IC,turkish,turkish_IC,otherLanguages,otherLanguages_IC
AG,553530,483168,0.006,11423,0.105,28548,0.067,1090,0.340,24749,0.072,9761,0.120,20619,0.082,21341,0.083,8198,0.128,9323,0.123,32580,0.064
AI,13178,12308,0.027,NaN,NaN,NaN,NaN,NaN,NaN,340,0.613,NaN,NaN,296,0.679,NaN,NaN,219,0.862,NaN,NaN,401,0.610
AR,45911,42247,0.016,621,0.454,1216,0.319,168,0.870,1656,0.284,411,0.582,1466,0.302,539,0.517,501,0.515,450,0.558,2160,0.255
BE,859534,722921,0.005,94844,0.034,27934,0.065,1212,0.310,31307,0.061,15017,0.095,13258,0.095,18306,0.084,12634,0.098,6807,0.136,44486,0.053
BL,240860,210248,0.009,8576,0.119,12298,0.100,481,0.500,13403,0.098,2555,0.234,5337,0.163,5254,0.174,4300,0.178,6200,0.153,15041,0.095
BS,162649,126475,0.015,8341,0.123,10624,0.111,167,0.870,16101,0.091,3378,0.210,4851,0.170,4301,0.189,5551,0.161,6740,0.147,15460,0.094
FR,253558,69393,0.036,173971,0.015,6360,0.140,NaN,NaN,9076,0.119,20844,0.079,1950,0.262,6469,0.146,5167,0.158,1101,0.356,9958,0.115
GE,376720,16882,0.061,305223,0.007,25603,0.050,257,0.510,43481,0.039,38985,0.042,3641,0.141,7935,0.099,29903,0.048,2512,0.173,33500,0.046
GL,33735,29493,0.024,300,0.686,1956,0.252,NaN,NaN,1169,0.341,847,0.409,875,0.403,1682,0.301,385,0.620,549,0.503,1866,0.274
GR,168482,126134,0.016,1809,0.266,22105,0.071,25396,0.060,5300,0.159,8111,0.130,3071,0.204,1935,0.272,1787,0.281,560,0.488,5900,0.151
JU,60754,4549,0.160,54642,0.016,1730,0.277,NaN,NaN,1132,0.335,1767,0.286,557,0.506,942,0.407,1291,0.326,253,0.737,1367,0.323
LU,334499,298754,0.005,5352,0.113,10944,0.080,821,0.280,12212,0.077,7346,0.102,11368,0.080,11321,0.082,4339,0.129,1804,0.206,17678,0.065
NE,147433,8268,0.083,129094,0.008,9035,0.081,104,0.780,5400,0.108,13090,0.069,1851,0.192,1995,0.190,4350,0.122,1392,0.219,7952,0.091
NW,36095,33055,0.018,485,0.498,1208,0.324,181,0.800,1759,0.268,633,0.468,389,0.581,509,0.518,347,0.611,NaN,NaN,1253,0.329
OW,31169,28359,0.020,387,0.555,685,0.418,NaN,NaN,1188,0.322,896,0.384,583,0.466,621,0.467,NaN,NaN,177,0.864,1308,0.313
SG,418305,369943,0.006,5142,0.156,14809,0.091,1104,0.340,13208,0.098,6194,0.146,19427,0.084,18432,0.090,6432,0.142,4587,0.176,23088,0.076
SH,68110,59807,0.016,1332,0.313,2799,0.214,NaN,NaN,2882,0.215,551,0.518,3088,0.206,2408,0.241,1425,0.307,575,0.501,4361,0.178
SO,227461,202004,0.008,6545,0.138,10993,0.109,359,0.580,8157,0.129,1955,0.272,6517,0.151,8212,0.142,2814,0.223,5345,0.171,12601,0.107
SZ,130566,117125,0.010,2801,0.213,3839,0.184,367,0.580,8457,0.123,1912,0.273,3386,0.201,3574,0.202,1170,0.337,542,0.518,7320,0.141
TG,226358,202422,0.006,2891,0.148,9838,0.079,574,0.320,7476,0.092,4503,0.123,4999,0.118,8795,0.091,2718,0.156,3219,0.150,10539,0.080
TI,301265,32110,0.041,15249,0.062,267617,0.005,232,0.510,10983,0.076,9140,0.084,9041,0.083,2894,0.149,6861,0.097,1260,0.223,11922,0.074
UR,30033,28020,0.018,203,0.789,871,0.392,NaN,NaN,804,0.426,812,0.443,607,0.509,366,0.613,NaN,NaN,246,0.732,569,0.498
VD,640606,38542,0.038,534265,0.004,33853,0.041,411,0.390,54578,0.033,54984,0.033,11197,0.077,13843,0.071,27374,0.048,3592,0.138,42247,0.039
VS,283009,73359,0.035,191793,0.015,11840,0.102,190,0.790,8723,0.123,24545,0.072,3974,0.187,5369,0.168,4740,0.167,731,0.458,9851,0.117
ZG,102994,84954,0.011,3199,0.139,4305,0.121,164,0.600,10834,0.075,2045,0.179,4366,0.121,1941,0.190,2012,0.181,1207,0.242,8668,0.085
ZH,1234567,1015001,0.004,41679,0.049,72202,0.038,3272,0.180,101907,0.032,31719,0.061,37563,0.055,43188,0.056,33737,0.056,19580,0.080,101998,0.032
CH,6981381,4435541,0.002,1600281,0.004,593285,0.010,36943,0.050,396281,0.016,262172,0.019,174279,0.025,192201,0.026,168454,0.024,78869,0.040,424074,0.016
