region,total,german,german_IC,french,french_IC,italian,italian_IC,romansh,romansh_IC,english,english_IC,portuguese,portuguese_IC,bosnianCroatianMontenegrinSerbian,bosnianCroatianMontenegrinSerbian_IC,albanian,albanian_IC,spanish,spanish_IC,turkish,turkish_IC,otherLanguages,otherLanguages_IC
AG,559727,0.8701,0.006,0.0185,0.11,0.0536,0.065,0.0019,0.349,0.0453,0.071,0.0172,0.12,0.0346,0.084,0.0418,0.08,0.0155,0.124,0.0187,0.116,0.0646,0.062
AI,13295,0.9364,0.028,NaN,NaN,0.0244,0.683,NaN,NaN,0.0351,0.558,NaN,NaN,0.0231,0.744,NaN,NaN,NaN,NaN,NaN,NaN,0.0332,0.61
AR,46019,0.9129,0.016,0.0123,0.467,0.0206,0.363,NaN,NaN,0.037,0.276,0.0136,0.468,0.0319,0.309,0.0184,0.423,0.0084,0.586,0.0059,0.744,0.058,0.227
BE,863405,0.843,0.005,0.1064,0.034,0.0313,0.064,0.0019,0.267,0.0379,0.059,0.018,0.09,0.0166,0.093,0.0225,0.084,0.0168,0.089,0.0069,0.145,0.0549,0.051
BL,241873,0.8744,0.009,0.0332,0.123,0.0507,0.099,0.0019,0.517,0.0586,0.095,0.0106,0.23,0.0221,0.156,0.0231,0.154,0.0172,0.179,0.0223,0.151,0.0624,0.093
BS,163014,0.7814,0.015,0.0503,0.123,0.063,0.112,0.0023,0.586,0.1056,0.086,0.0281,0.174,0.0317,0.165,0.0285,0.183,0.0377,0.149,0.0438,0.14,0.092,0.093
FR,256724,0.2778,0.035,0.6877,0.015,0.0233,0.142,0.0012,0.646,0.037,0.116,0.0808,0.077,0.0076,0.262,0.0242,0.148,0.0222,0.15,0.0077,0.254,0.0412,0.111
GE,382408,0.0458,0.059,0.8079,0.007,0.0653,0.05,0.0007,0.478,0.1186,0.037,0.102,0.041,0.0101,0.132,0.0218,0.092,0.0764,0.047,0.0063,0.166,0.0954,0.043
GL,33877,0.8659,0.025,0.0091,0.647,0.0716,0.226,NaN,NaN,0.0423,0.309,0.0293,0.387,0.0233,0.412,0.0412,0.335,0.011,0.613,0.0138,0.54,0.0579,0.27
GR,168961,0.7409,0.016,0.0151,0.217,0.131,0.072,0.1542,0.063,0.0312,0.159,0.0505,0.131,0.0226,0.192,0.0086,0.317,0.0112,0.269,0.0022,0.618,0.0376,0.152
JU,60947,0.0613,0.176,0.9021,0.015,0.0323,0.262,NaN,NaN,0.0145,0.389,0.0267,0.298,0.0054,0.671,0.0215,0.351,0.0235,0.318,0.0032,0.876,0.0255,0.302
LU,337045,0.8878,0.005,0.0179,0.109,0.0308,0.082,0.0018,0.338,0.0397,0.074,0.0233,0.098,0.0354,0.079,0.0345,0.082,0.0144,0.124,0.006,0.194,0.0547,0.064
NE,146929,0.0553,0.082,0.8758,0.008,0.0606,0.079,0.0007,0.78,0.0419,0.1,0.0835,0.069,0.0126,0.188,0.0116,0.201,0.0296,0.119,0.0082,0.233,0.052,0.092
NW,36497,0.9209,0.017,0.0174,0.431,0.021,0.401,NaN,NaN,0.0511,0.256,0.0138,0.516,0.0151,0.521,0.0196,0.46,0.009,0.612,NaN,NaN,0.0466,0.282
