region,total,german,german_IC,french,french_IC,italian,italian_IC,romansh,romansh_IC,english,english_IC,portuguese,portuguese_IC,bosnianCroatianMontenegrinSerbian,bosnianCroatianMontenegrinSerbian_IC,albanian,albanian_IC,spanish,spanish_IC,turkish,turkish_IC,otherLanguages,otherLanguages_IC
AG,0.0806,0.1109,0.004,0.0072,0.072,0.0517,0.045,0.0178,0.305,0.0671,0.044,0.0401,0.081,0.1134,0.058,0.1204,0.054,0.056,0.081,0.1255,0.083,0.0819,0.041
AI,0.0019,0.0028,0.028,0.0001,0.796,NaN,NaN,NaN,NaN,0.0007,0.613,NaN,NaN,0.0018,0.646,NaN,NaN,NaN,NaN,NaN,NaN,0.0007,0.688
AR,0.0064,0.0094,0.017,0.0003,0.517,0.0015,0.37,0.0058,0.741,0.0037,0.259,0.0016,0.593,0.0076,0.315,0.003,0.488,0.0042,0.41,0.0024,0.865,0.0048,0.245
BE,0.1214,0.1619,0.005,0.0575,0.034,0.0469,0.064,0.0294,0.335,0.0825,0.053,0.0637,0.088,0.077,0.096,0.0951,0.083,0.08,0.09,0.0876,0.135,0.1069,0.049
BL,0.0341,0.0472,0.009,0.0049,0.121,0.0222,0.097,0.01,0.584,0.036,0.084,0.0099,0.227,0.0306,0.158,0.0256,0.166,0.0304,0.156,0.0723,0.151,0.0346,0.088
BS,0.0227,0.0276,0.016,0.0051,0.122,0.0162,0.113,0.0052,0.873,0.0399,0.08,0.0146,0.19,0.0288,0.163,0.0208,0.186,0.0367,0.143,0.0864,0.139,0.036,0.088
FR,0.037,0.0155,0.036,0.112,0.015,0.0115,0.135,NaN,NaN,0.019,0.116,0.08,0.078,0.0126,0.245,0.0323,0.146,0.028,0.162,0.0267,0.249,0.0237,0.108
GE,0.0542,0.0034,0.063,0.1896,0.007,0.04,0.052,0.0069,0.539,0.0987,0.036,0.1437,0.042,0.022,0.137,0.0463,0.091,0.1752,0.046,0.0352,0.159,0.0743,0.044
GL,0.0048,0.0065,0.028,0.0002,0.684,0.0036,0.247,NaN,NaN,0.0024,0.366,0.0051,0.325,0.0053,0.397,0.0062,0.34,0.002,0.614,0.0034,0.732,0.0044,0.264
GR,0.0238,0.0286,0.016,0.0014,0.234,0.04,0.069,0.6728,0.067,0.0149,0.136,0.033,0.13,0.017,0.213,0.0082,0.3,0.0105,0.275,0.0037,0.687,0.0143,0.145
JU,0.0086,0.0008,0.178,0.0342,0.015,0.0029,0.275,NaN,NaN,0.0029,0.313,0.0068,0.285,0.0023,0.587,0.004,0.414,0.0075,0.325,0.0026,0.789,0.0039,0.279
LU,0.048,0.0677,0.005,0.0033,0.108,0.019,0.075,0.0245,0.264,0.033,0.063,0.0295,0.093,0.0643,0.077,0.0629,0.073,0.0303,0.109,0.0227,0.197,0.0428,0.058
NE,0.0204,0.0015,0.092,0.0794,0.008,0.0139,0.085,0.0035,0.727,0.0135,0.097,0.0411,0.077,0.0095,0.196,0.0095,0.19,0.0216,0.129,0.0136,0.247,0.0155,0.094
NW,0.0051,0.0076,0.019,0.0003,0.501,0.0015,0.378,0.0053,0.792,0.0036,0.263,0.0016,0.563,0.0035,0.507,0.0027,0.5,0.0023,0.535,NaN,NaN,0.0035,0.286
OW,0.0044,0.0065,0.019,0.0002,0.642,0.001,0.475,NaN,NaN,0.0024,0.333,0.0039,0.374,0.0026,0.558,0.0027,0.515,0.0015,0.73,NaN,NaN,0.0023,0.364
SG,0.0595,0.0835,0.007,0.0028,0.169,0.0261,0.094,0.0297,0.344,0.0374,0.086,0.0239,0.152,0.1072,0.086,0.0958,0.087,0.0341,0.152,0.065,0.166,0.0549,0.074
SH,0.0097,0.0136,0.017,0.0007,0.335,0.0047,0.213,NaN,NaN,0.0083,0.18,0.0026,0.459,0.0151,0.227,0.0112,0.249,0.0054,0.371,0.0151,0.336,0.0108,0.165
SO,0.0325,0.0451,0.009,0.0038,0.143,0.0183,0.108,0.0098,0.618,0.0212,0.114,0.0091,0.244,0.0414,0.141,0.043,0.133,0.0156,0.221,0.053,0.184,0.0316,0.098
SZ,0.019,0.0267,0.011,0.0017,0.211,0.0071,0.173,0.013,0.516,0.0183,0.117,0.0069,0.281,0.0238,0.182,0.0152,0.222,0.0097,0.276,0.0119,0.387,0.0168,0.128
TG,0.0328,0.0467,0.006,0.0018,0.149,0.0164,0.081,0.0099,0.416,0.0199,0.083,0.0187,0.12,0.0262,0.123,0.0477,0.087,0.0157,0.154,0.0327,0.165,0.0293,0.069
TI,0.0418,0.0069,0.041,0.0087,0.063,0.4458,0.005,0.0092,0.425,0.0267,0.068,0.0302,0.089,0.0464,0.088,0.0143,0.152,0.0393,0.093,0.0142,0.237,0.0244,0.073
UR,0.0043,0.0062,0.02,0.0001,0.746,0.0013,0.404,NaN,NaN,0.0024,0.339,0.003,0.429,0.0039,0.472,NaN,NaN,0.0011,0.869,0.0042,0.648,0.0024,0.355
