region,total,age0_19,age20_64,age65plus,sexMale,sexFemale,citizenSwiss,citizenForeign,maritalSingle,maritalMarried,maritalWidowed,maritalDivorced,maritalUnmarried,martialRegistredPartnership,maritalDisolvedPartnership,typoUrbanCore,typoUrbanCoreInfluence,typoNoUrbanCoreInfluence
AG,678207,137245,421254,119708,340776,337431,507783,170424,288490,303630,30375,54508,34,1025,128,370533,206174,101500
AI,16145,3424,9630,3091,8300,7845,14321,1824,7354,6995,847,930,1,15,3,0,0,16145
AR,55234,11128,33220,10886,27889,27345,46220,9014,23502,24128,2795,4720,1,81,7,15745,26569,12920
BE,1034977,197081,622412,215484,507791,527186,865906,169071,450924,437708,55506,88678,55,1787,296,543353,229573,262051
BL,288132,55328,169597,63207,141341,146791,222396,65736,116257,131140,15671,24333,9,661,59,196108,85166,6858
BS,194766,33585,122466,38715,94311,100455,123867,70899,93443,71195,10436,18868,25,722,74,194766,0,0
FR,318714,71206,197382,50126,159579,159135,246355,72359,146131,132836,13533,25678,25,444,58,104670,133895,80149
GE,499480,105511,312012,81957,241848,257632,299540,199940,237453,191859,20326,48059,78,1475,219,455141,44339,0
GL,40403,7726,24566,8111,20448,19955,30671,9732,16842,17889,2310,3316,2,41,3,30909,0,9494
GR,198379,35687,120386,42306,99374,99005,161397,36982,84164,87286,10743,15942,15,202,24,64561,24381,109437
JU,73419,15395,42692,15332,36317,37102,62651,10768,31840,30622,4540,6311,10,84,11,24996,14133,34290
LU,409557,83363,254126,72068,204100,205457,333672,75885,187057,174800,18649,28311,24,651,58,214883,46250,148424
NE,176850,37361,105812,33677,86621,90229,132143,44707,78853,69688,9652,18382,12,228,34,103062,52257,21531
NW,43223,7884,26552,8787,22122,21101,36872,6351,18622,19151,1999,3402,4,42,1,16097,5777,21349
OW,37841,7639,23100,7102,19144,18697,32296,5545,16644,16880,1782,2494,2,37,2,10368,0,27473
SG,507697,104248,310799,92650,254304,253393,385295,122402,219865,221801,24302,41014,28,605,54,351835,66645,89217
SH,81991,15411,49233,17347,40560,41431,60626,21365,33668,36412,4568,7186,1,141,15,47099,26527,8365
SO,273194,52055,167704,53435,136475,136719,211399,61795,114497,119734,14210,24262,11,412,61,164793,70080,38321
SZ,159165,30986,99947,28232,81599,77566,124828,34337,68977,70322,7053,12543,5,238,23,96821,33747,28597
TG,276472,56175,171646,48651,139185,137287,207714,68758,117130,122858,12492,23572,12,366,40,127977,57457,91038
TI,353343,64098,209350,79895,172192,181151,255116,98227,148532,152586,21400,30299,41,431,52,251554,76225,25564
UR,36433,7340,21651,7442,18609,17824,31936,4497,15568,16939,1996,1886,8,31,5,22499,9789,4145
VD,799145,175670,492075,131400,392529,406616,533878,265267,374074,319150,34214,69485,60,1892,247,493915,222272,82958
VS,343955,68005,208500,67450,170431,173524,265879,78076,147060,149070,18370,28941,33,408,56,188756,82257,72942
ZG,126837,25729,79597,21511,64195,62642,90917,35920,55454,56502,4903,9693,12,248,22,116378,10459,0
ZH,1520968,300178,962059,258731,757081,763887,1112574,408394,705128,616619,62676,130518,90,5125,753,1173534,337221,10213
CH,8544527,1709458,5257768,1577301,4237121,4307406,6396252,2148275,3797529,3597800,405348,723331,598,17392,2305,5380353,1861193,1302981
