region,total,age0_19,age20_64,age65plus,sexMale,sexFemale,citizenSwiss,citizenForeign,maritalSingle,maritalMarried,maritalWidowed,maritalDivorced,maritalUnmarried,martialRegistredPartnership,maritalDisolvedPartnership,typoUrbanCore,typoUrbanCoreInfluence,typoNoUrbanCoreInfluence
AG,0.0794,0.0803,0.0801,0.0759,0.0804,0.0783,0.0794,0.0793,0.076,0.0844,0.0749,0.0754,0.0569,0.0589,0.0555,0.0689,0.1108,0.0779
AI,0.0019,0.002,0.0018,0.002,0.002,0.0018,0.0022,0.0008,0.0019,0.0019,0.0021,0.0013,0.0017,0.0009,0.0013,0.0,0.0,0.0124
AR,0.0065,0.0065,0.0063,0.0069,0.0066,0.0063,0.0072,0.0042,0.0062,0.0067,0.0069,0.0065,0.0017,0.0047,0.003,0.0029,0.0143,0.0099
BE,0.1211,0.1153,0.1184,0.1366,0.1198,0.1224,0.1354,0.0787,0.1187,0.1217,0.1369,0.1226,0.092,0.1027,0.1284,0.101,0.1233,0.2011
BL,0.0337,0.0324,0.0323,0.0401,0.0334,0.0341,0.0348,0.0306,0.0306,0.0365,0.0387,0.0336,0.0151,0.038,0.0256,0.0364,0.0458,0.0053
BS,0.0228,0.0196,0.0233,0.0245,0.0223,0.0233,0.0194,0.033,0.0246,0.0198,0.0257,0.0261,0.0418,0.0415,0.0321,0.0362,0.0,0.0
FR,0.0373,0.0417,0.0375,0.0318,0.0377,0.0369,0.0385,0.0337,0.0385,0.0369,0.0334,0.0355,0.0418,0.0255,0.0252,0.0195,0.0719,0.0615
GE,0.0585,0.0617,0.0593,0.052,0.0571,0.0598,0.0468,0.0931,0.0625,0.0533,0.0501,0.0664,0.1304,0.0848,0.095,0.0846,0.0238,0.0
GL,0.0047,0.0045,0.0047,0.0051,0.0048,0.0046,0.0048,0.0045,0.0044,0.005,0.0057,0.0046,0.0033,0.0024,0.0013,0.0057,0.0,0.0073
GR,0.0232,0.0209,0.0229,0.0268,0.0235,0.023,0.0252,0.0172,0.0222,0.0243,0.0265,0.022,0.0251,0.0116,0.0104,0.012,0.0131,0.084
JU,0.0086,0.009,0.0081,0.0097,0.0086,0.0086,0.0098,0.005,0.0084,0.0085,0.0112,0.0087,0.0167,0.0048,0.0048,0.0046,0.0076,0.0263
LU,0.0479,0.0488,0.0483,0.0457,0.0482,0.0477,0.0522,0.0353,0.0493,0.0486,0.046,0.0391,0.0401,0.0374,0.0252,0.0399,0.0248,0.1139
NE,0.0207,0.0219,0.0201,0.0214,0.0204,0.0209,0.0207,0.0208,0.0208,0.0194,0.0238,0.0254,0.0201,0.0131,0.0148,0.0192,0.0281,0.0165
NW,0.0051,0.0046,0.0051,0.0056,0.0052,0.0049,0.0058,0.003,0.0049,0.0053,0.0049,0.0047,0.0067,0.0024,0.0004,0.003,0.0031,0.0164
OW,0.0044,0.0045,0.0044,0.0045,0.0045,0.0043,0.005,0.0026,0.0044,0.0047,0.0044,0.0034,0.0033,0.0021,0.0009,0.0019,0.0,0.0211
SG,0.0594,0.061,0.0591,0.0587,0.06,0.0588,0.0602,0.057,0.0579,0.0616,0.06,0.0567,0.0468,0.0348,0.0234,0.0654,0.0358,0.0685
SH,0.0096,0.009,0.0094,0.011,0.0096,0.0096,0.0095,0.0099,0.0089,0.0101,0.0113,0.0099,0.0017,0.0081,0.0065,0.0088,0.0143,0.0064
SO,0.032,0.0305,0.0319,0.0339,0.0322,0.0317,0.0331,0.0288,0.0302,0.0333,0.0351,0.0335,0.0184,0.0237,0.0265,0.0306,0.0377,0.0294
SZ,0.0186,0.0181,0.019,0.0179,0.0193,0.018,0.0195,0.016,0.0182,0.0195,0.0174,0.0173,0.0084,0.0137,0.01,0.018,0.0181,0.0219
TG,0.0324,0.0329,0.0326,0.0308,0.0328,0.0319,0.0325,0.032,0.0308,0.0341,0.0308,0.0326,0.0201,0.021,0.0174,0.0238,0.0309,0.0699
TI,0.0414,0.0375,0.0398,0.0507,0.0406,0.0421,0.0399,0.0457,0.0391,0.0424,0.0528,0.0419,0.0686,0.0248,0.0226,0.0468,0.041,0.0196
UR,0.0043,0.0043,0.0041,0.0047,0.0044,0.0041,0.005,0.0021,0.0041,0.0047,0.0049,0.0026,0.0134,0.0018,0.0022,0.0042,0.0053,0.0032
VD,0.0935,0.1028,0.0936,0.0833,0.0926,0.0944,0.0835,0.1235,0.0985,0.0887,0.0844,0.0961,0.1003,0.1088,0.1072,0.0918,0.1194,0.0637
VS,0.0403,0.0398,0.0397,0.0428,0.0402,0.0403,0.0416,0.0363,0.0387,0.0414,0.0453,0.04,0.0552,0.0235,0.0243,0.0351,0.0442,0.056
ZG,0.0148,0.0151,0.0151,0.0136,0.0152,0.0145,0.0142,0.0167,0.0146,0.0157,0.0121,0.0134,0.0201,0.0143,0.0095,0.0216,0.0056,0.0
ZH,0.178,0.1756,0.183,0.164,0.1787,0.1773,0.1739,0.1901,0.1857,0.1714,0.1546,0.1804,0.1505,0.2947,0.3267,0.2181,0.1812,0.0078
CH,8544527.0,1709458.0,5257768.0,1577301.0,4237121.0,4307406.0,6396252.0,2148275.0,3797529.0,3597800.0,405348.0,723331.0,598.0,17392.0,2305.0,5380353.0,1861193.0,1302981.0
