region,total,personalVehicles,passengerVehicles,goodsVehicles,agriculturalVehicles,industrialVehicles,motorbikes,trailers,mopeds
AG,498194,0.7741,0.011,0.0667,0.0278,0.0086,0.1119,0.0731,0.0366
AI,13719,0.6893,0.0084,0.0657,0.0926,0.0194,0.1246,0.094,0.0368
AR,42651,0.7349,0.0128,0.0574,0.0558,0.0135,0.1255,0.0852,0.0334
BE,735429,0.717,0.0167,0.0727,0.0528,0.0142,0.1266,0.0901,0.0478
BL,189909,0.7721,0.0107,0.0697,0.0205,0.0085,0.1186,0.0616,0.0404
BS,85984,0.7671,0.01,0.0971,0.0019,0.0078,0.1161,0.0391,0.0516
FR,233023,0.7736,0.0116,0.0623,0.0424,0.01,0.1002,0.0963,0.0306
GE,301824,0.7347,0.0087,0.0616,0.0052,0.0057,0.1841,0.0275,0.0148
GL,31064,0.7478,0.0104,0.0744,0.0448,0.02,0.1026,0.0897,0.0343
GR,154880,0.7149,0.0133,0.0821,0.0598,0.0258,0.104,0.1109,0.0187
JU,56049,0.7596,0.0099,0.0638,0.0651,0.0125,0.089,0.118,0.036
LU,290486,0.7335,0.0124,0.0693,0.0503,0.01,0.1245,0.0749,0.0399
NE,122267,0.7928,0.0133,0.0577,0.0242,0.0101,0.1019,0.0673,0.0172
NW,35059,0.7539,0.0128,0.0555,0.0379,0.0098,0.1301,0.0645,0.0385
OW,31082,0.7092,0.015,0.0697,0.0654,0.0157,0.1251,0.1002,0.0506
SG,367986,0.7499,0.0112,0.07,0.0416,0.0139,0.1133,0.0792,0.0335
SH,61259,0.7341,0.0153,0.0678,0.0476,0.0128,0.1224,0.1014,0.032
SO,201746,0.7687,0.0111,0.068,0.0273,0.0103,0.1146,0.0716,0.0479
SZ,129772,0.7588,0.0113,0.0624,0.0419,0.0132,0.1124,0.0682,0.031
TG,225915,0.7394,0.012,0.0693,0.0483,0.0131,0.1179,0.0937,0.0319
TI,305357,0.7354,0.0083,0.0733,0.0134,0.0101,0.1596,0.0446,0.0134
UR,26858,0.7284,0.0146,0.0605,0.0492,0.0185,0.1288,0.0932,0.0353
VD,521827,0.7862,0.0104,0.061,0.0263,0.0079,0.1082,0.0602,0.0152
VS,280362,0.7619,0.0115,0.0708,0.0279,0.0167,0.1112,0.0956,0.0093
ZG,99290,0.797,0.011,0.0723,0.0203,0.0086,0.0909,0.049,0.0214
ZH,938520,0.7799,0.0105,0.0647,0.0171,0.0113,0.1165,0.0503,0.0229
CH,5980512,0.7565,0.0117,0.0678,0.0321,0.0115,0.1205,0.0705,0.0294
