region,total,personalVehicles,passengerVehicles,goodsVehicles,agriculturalVehicles,industrialVehicles,motorbikes,trailers,mopeds
AG,513127,395038,6331,35520,13841,4535,57862,37818,21267 
AI,14193,9736,141,974,1288,283,1771,1353,625 
AR,43717,32009,631,2650,2435,579,5413,3801,1907 
BE,749289,535407,13984,56015,38842,11023,94018,68778,40368 
BL,193540,148410,2247,14205,3957,1680,23041,11716,9130 
BS,86100,66159,913,8179,156,684,10009,3350,4302 
FR,241614,186371,2997,15596,9922,2427,24301,23588,7868 
GE,303806,220491,2628,19646,1538,1717,57786,8388,5818 
GL,31905,23657,365,2446,1405,653,3379,2974,1149 
GR,158820,113300,2341,13279,9205,4127,16568,17830,3176 
JU,57449,43415,653,3828,3716,748,5089,6945,1236 
LU,297408,216386,4146,21800,15004,3121,36951,22785,13782 
NE,122897,96989,1728,7414,2926,1251,12589,8329,2234 
NW,35838,26892,518,2043,1347,370,4668,2371,1749
OW,32025,22624,498,2305,2082,518,3998,3284,1924
SG,375953,280720,4604,27443,15485,5322,42379,29995,14300 
SH,62625,45710,1052,4478,2917,786,7682,6396,2103 
SO,205825,157261,2529,14738,5615,2166,23516,14880,11116 
SZ,134140,101436,1697,8807,5491,1804,14905,9174,4721 
TG,234550,172815,3185,16793,11054,3113,27590,22151,8601 
TI,306401,224666,2617,23035,4132,3229,48722,14131,4225 
UR,27531,20016,456,1770,1334,534,3421,2607,1026 
VD,533615,417188,5913,33657,13658,4224,58975,32809,8469 
VS,290611,220259,3568,21563,7723,4823,32675,27997,2462 
ZG,107114,85023,1271,8245,2043,926,9606,5001,2578 
ZH,953698,740710,10972,62379,16167,11040,112430,47954,25287 
CH,6113791,4602688,77985,428808,193283,71683,739344,436405,201423
