region,total,personalVehicles,passengerVehicles,goodsVehicles,agriculturalVehicles,industrialVehicles,motorbikes,trailers,mopeds
AG,0.0839,0.0858,0.0812,0.0828,0.0716,0.0633,0.0783,0.0867,0.1056
AI,0.0023,0.0021,0.0018,0.0023,0.0067,0.0039,0.0024,0.0031,0.0031
AR,0.0072,0.007,0.0081,0.0062,0.0126,0.0081,0.0073,0.0087,0.0095
BE,0.1226,0.1163,0.1793,0.1306,0.201,0.1538,0.1272,0.1576,0.2004
BL,0.0317,0.0322,0.0288,0.0331,0.0205,0.0234,0.0312,0.0268,0.0453
BS,0.0141,0.0144,0.0117,0.0191,0.0008,0.0095,0.0135,0.0077,0.0214
FR,0.0395,0.0405,0.0384,0.0364,0.0513,0.0339,0.0329,0.0541,0.0391
GE,0.0497,0.0479,0.0337,0.0458,0.008,0.024,0.0782,0.0192,0.0289
GL,0.0052,0.0051,0.0047,0.0057,0.0073,0.0091,0.0046,0.0068,0.0057
GR,0.026,0.0246,0.03,0.031,0.0476,0.0576,0.0224,0.0409,0.0158
JU,0.0094,0.0094,0.0084,0.0089,0.0192,0.0104,0.0069,0.0159,0.0061
LU,0.0486,0.047,0.0532,0.0508,0.0776,0.0435,0.05,0.0522,0.0684
NE,0.0201,0.0211,0.0222,0.0173,0.0151,0.0175,0.017,0.0191,0.0111
NW,0.0059,0.0058,0.0066,0.0048,0.007,0.0052,0.0063,0.0054,0.0087
OW,0.0052,0.0049,0.0064,0.0054,0.0108,0.0072,0.0054,0.0075,0.0096
SG,0.0615,0.061,0.059,0.064,0.0801,0.0742,0.0573,0.0687,0.071
SH,0.0102,0.0099,0.0135,0.0104,0.0151,0.011,0.0104,0.0147,0.0104
SO,0.0337,0.0342,0.0324,0.0344,0.0291,0.0302,0.0318,0.0341,0.0552
SZ,0.0219,0.022,0.0218,0.0205,0.0284,0.0252,0.0202,0.021,0.0234
TG,0.0384,0.0375,0.0408,0.0392,0.0572,0.0434,0.0373,0.0508,0.0427
TI,0.0501,0.0488,0.0336,0.0537,0.0214,0.045,0.0659,0.0324,0.021
UR,0.0045,0.0043,0.0058,0.0041,0.0069,0.0074,0.0046,0.006,0.0051
VD,0.0873,0.0906,0.0758,0.0785,0.0707,0.0589,0.0798,0.0752,0.042
VS,0.0475,0.0479,0.0458,0.0503,0.04,0.0673,0.0442,0.0642,0.0122
ZG,0.0175,0.0185,0.0163,0.0192,0.0106,0.0129,0.013,0.0115,0.0128
ZH,0.156,0.1609,0.1407,0.1455,0.0836,0.154,0.1521,0.1099,0.1255
CH,6113791.0,4602688.0,77985.0,428808.0,193283.0,71683.0,739344.0,436405.0,201423.0
