Year,Month,AG,AI,AR,BE,BL,BS,FR,GE,GL,GR,JU,LU,NE,NW,OW,SG,SH,SO,SZ,TG,TI,UR,VD,VS,ZG,ZH,??
2016,1,8763,227,682,19195,2605,89,6303,1973,407,4632,4975,5605,2372,226,486,6479,1083,4240,1610,5674,2652,166,9030,3830,1117,11751,340
2016,2,8777,227,685,19268,2626,89,6309,1985,399,4620,5009,5620,2377,224,493,6519,1087,4260,1612,5675,2644,163,9038,3874,1126,11775,337
2016,3,8856,228,711,19498,2639,91,6421,1993,402,4632,5170,5696,2386,221,496,6553,1080,4284,1613,5723,2676,162,9089,3910,1134,11851,328
2016,4,8922,226,714,19716,2668,88,6493,2012,403,4679,5427,5795,2433,230,493,6594,1093,4364,1638,5761,2705,166,9189,3949,1142,11976,335
2016,5,9004,225,729,19802,2681,87,6576,2033,402,4753,5493,5838,2479,236,491,6620,1106,4406,1655,5793,2721,165,9237,3981,1140,12057,416
2016,6,9015,218,710,19784,2674,88,6612,2040,408,5108,5464,5823,2520,241,490,6631,1090,4387,1666,5713,2736,166,9283,4022,1123,12047,417
2016,7,8981,220,712,19693,2669,88,6663,2064,408,5169,5448,5819,2510,244,485,6600,1083,4396,1670,5725,2762,169,9239,4082,1118,12004,415
2016,8,8943,217,713,19698,2676,89,6681,2069,413,5105,5401,5822,2500,245,489,6586,1066,4380,1667,5694,2774,172,9242,4082,1113,12013,405
2016,9,8928,223,718,19694,2676,91,6612,2073,419,4858,5352,5841,2473,237,500,6607,1070,4342,1662,5675,2779,172,9254,4075,1128,12053,366
2016,10,8940,226,715,19655,2682,92,6595,2081,421,4766,5131,5811,2441,240,503,6629,1091,4344,1661,5714,2780,177,9341,4054,1120,12100,342
2016,11,8922,223,701,19486,2667,92,6533,2079,411,4698,4943,5755,2414,241,508,6629,1089,4324,1657,5754,2768,174,9282,4014,1110,12078,284
2016,12,8857,213,695,19359,2655,91,6522,2099,406,4660,4874,5729,2392,243,512,6591,1102,4293,1633,5793,2756,171,9461,4012,1106,12019,258
2017,1,8908,214,688,19359,2705,92,6550,2097,408,4683,4795,5743,2382,244,513,6586,1107,4287,1631,5843,2764,171,9758,4019,1132,12086,216
2017,2,8925,214,691,19478,2698,92,6578,2104,410,4684,4808,5760,2384,251,511,6595,1114,4311,1642,5885,2794,169,9772,4026,1137,12081,204
2017,3,9002,216,685,19682,2722,92,6650,2093,412,4696,5038,5816,2389,254,513,6632,1132,4347,1671,5885,2818,172,9819,4062,1136,12163,188
