Year,Month,AG,AI,AR,BE,BL,BS,FL,FR,GE,GL,GR,JU,LU,NE,NW,OW,SG,SH,SO,SZ,TG,TI,VD,VS,ZG,ZH,??
2016,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,,68
2016,2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,57
2016,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,41
2016,4,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,67
2016,5,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,52
2016,6,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,,5.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,,39
2016,7,,0.0,0.0,5.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,5.0,0.0,0.0,0.0,27
2016,8,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,,52
2016,9,,0.0,0.0,7.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,0.0,51
2016,10,,0.0,,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,,,0.0,0.0,,0.0,,0.0,,,0.0,0.0,0.0,,110
2016,11,0.0,0.0,0.0,8.0,,0.0,,0.0,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,134
2016,12,,5.0,0.0,6.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,,0.0,,0.0,0.0,,8.0,0.0,0.0,,121
2017,1,0.0,0.0,,7.0,,0.0,0.0,,,0.0,,,,,0.0,0.0,,,,,0.0,,,,0.0,5.0,37
2017,2,5.0,0.0,0.0,5.0,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,,,8.0,0.0,0.0,7.0,23
2017,3,,0.0,7.0,9.0,0.0,0.0,0.0,5.0,,0.0,,,7.0,0.0,0.0,0.0,,0.0,,,,,8.0,0.0,0.0,9.0,26
