GDEBZNR,GDENR,GDENAME,GDENAMK,GDEMUTDAT
101,1,Aeugst am Albis,Aeugst am Albis,1976-11-15
101,2,Affoltern am Albis,Affoltern am Albis,1848-09-12
101,3,Bonstetten,Bonstetten,1848-09-12
101,4,Hausen am Albis,Hausen am Albis,1911-01-01
101,5,Hedingen,Hedingen,1848-09-12
101,6,Kappel am Albis,Kappel am Albis,1911-01-01
101,7,Knonau,Knonau,1848-09-12
101,8,Maschwanden,Maschwanden,1848-09-12
101,9,Mettmenstetten,Mettmenstetten,1848-09-12
101,10,Obfelden,Obfelden,1848-09-12
101,11,Ottenbach,Ottenbach,1848-09-12
101,12,Rifferswil,Rifferswil,1848-09-12
101,13,Stallikon,Stallikon,1848-09-12
101,14,Wettswil am Albis,Wettswil am Albis,1976-11-15
102,21,Adlikon,Adlikon,1872-01-01
102,22,Benken (ZH),Benken (ZH),1848-09-12
102,23,Berg am Irchel,Berg am Irchel,1848-09-12
102,24,Buch am Irchel,Buch am Irchel,2013-01-01
102,25,Dachsen,Dachsen,1848-09-12
102,26,Dorf,Dorf,1848-09-12
102,27,Feuerthalen,Feuerthalen,1848-09-12
102,28,Flaach,Flaach,1848-09-12
102,29,Flurlingen,Flurlingen,1848-09-12
102,30,Andelfingen,Andelfingen,1970-01-01
102,31,Henggart,Henggart,1848-09-12
102,32,Humlikon,Humlikon,1872-01-01
102,33,Kleinandelfingen,Kleinandelfingen,1848-09-12
102,34,Laufen-Uhwiesen,Laufen-Uhwiesen,1848-09-12
102,35,Marthalen,Marthalen,1848-09-12
102,37,Ossingen,Ossingen,1848-09-12
102,38,Rheinau,Rheinau,1848-09-12
102,39,Thalheim an der Thur,Thalheim an der Thur,1878-01-01
102,40,Trüllikon,Trüllikon,1879-01-01
102,41,Truttikon,Truttikon,1879-01-01
102,43,Volken,Volken,1848-09-12
103,51,Bachenbülach,Bachenbülach,1848-09-12
103,52,Bassersdorf,Bassersdorf,1848-09-12
103,53,Bülach,Bülach,1848-09-12
103,54,Dietlikon,Dietlikon,1848-09-12
103,55,Eglisau,Eglisau,1848-09-12
103,56,Embrach,Embrach,1931-01-01
103,57,Freienstein-Teufen,Freienstein-Teufen,1958-01-01
103,58,Glattfelden,Glattfelden,1848-09-12
103,59,Hochfelden,Hochfelden,1848-09-12
103,60,Höri,Höri,1848-09-12
103,61,Hüntwangen,Hüntwangen,1848-09-12
103,62,Kloten,Kloten,1848-09-12
103,63,Lufingen,Lufingen,1848-09-12
103,64,Nürensdorf,Nürensdorf,1848-09-12
103,65,Oberembrach,Oberembrach,1848-09-12
