region,numberExploitationTotal,numberExploitationPercentMain,employmentTotal,employmentPercentFullTime,surfaceTotal,surfaceOpenLand,surfaceGrassland,surfaceByExploitation,surfaceByMainExploitation
AG,3052,61,9201,41,60133,45,52,20,26
AI,440,78,991,49,7112,0,96,16,19
AR,675,73,1572,46,11874,0,98,18,22
BE,10112,73,30286,41,192002,25,74,19,22
BL,898,68,2833,40,21436,26,71,24,30
BS,12,83,54,57,423,27,68,35,42
FR,2690,79,8334,56,75040,32,67,28,33
GE,389,73,1978,61,11251,60,25,29,37
GL,351,71,923,43,6919,1,97,20,24
GR,2215,72,6288,40,56251,4,95,25,30
JU,1009,80,2825,52,40744,26,72,40,47
LU,4450,72,12744,43,75525,20,78,17,20
NE,765,83,2196,61,31517,13,84,41,47
NW,417,71,1109,37,5916,1,98,14,16
OW,604,72,1502,39,7794,0,98,13,16
SG,3860,76,10327,47,71296,8,88,18,22
SH,523,70,1605,41,15956,64,32,31,39
SO,1324,68,3874,42,31463,33,66,24,30
SZ,1517,71,4023,38,23693,2,92,16,19
TG,2491,77,8346,50,49433,37,57,20,23
TI,1055,53,2932,42,13906,8,82,13,21
UR,540,56,1325,28,6749,0,99,13,16
VD,3580,77,12601,51,108346,49,45,30,36
VS,2634,53,9595,32,36272,6,77,14,20
ZG,547,72,1659,47,10610,15,78,19,23
ZH,3213,67,10398,47,72373,40,55,23,28
CH,49363,71,149521,44,1044034,26,70,21,26
